Num,config,Num_Fe,a1,a2,a3,a4,a5,a6,a7,a8,a9,Etot_htr,dEform_eV,Emca_meV,Damp  # 0:Fe 1:Co
213,CFFCFCFCC,4,1,0,0,1,0,1,0,1,1,-13161.2508521575,-0.020724,-1.2805,0.0124047125
214,CFFCFCFCF,5,1,0,0,1,0,1,0,1,0,-13040.5813892386,-0.022699,-0.5385,0.0086543752
215,CFFCFCFFC,5,1,0,0,1,0,1,0,0,1,-13040.5843886383,-0.025698,-0.7587,0.0144225269
216,CFFCFCFFF,6,1,0,0,1,0,1,0,0,0,-12919.9060899679,-0.018837,-0.2813,0.0138074318
217,CFFCFFCCC,4,1,0,0,1,0,0,1,1,1,-13161.2447994157,-0.014672,-1.0246,0.0156335562
218,CFFCFFCCF,5,1,0,0,1,0,0,1,1,0,-13040.5762251009,-0.017535,-0.8204,0.0186094548
219,CFFCFFCFC,5,1,0,0,1,0,0,1,0,1,-13040.5846162128,-0.025926,-0.4409,0.0215946438
220,CFFCFFCFF,6,1,0,0,1,0,0,1,0,0,-12919.9041387940,-0.016886,-0.1809,0.0130082551
221,CFFCFFFCC,5,1,0,0,1,0,0,0,1,1,-13040.5750757037,-0.016385,-0.9824,0.0226477666
222,CFFCFFFCF,6,1,0,0,1,0,0,0,1,0,-12919.9046502283,-0.017397,-1.6616,0.0238692294
223,CFFCFFFFC,6,1,0,0,1,0,0,0,0,1,-12919.9060157894,-0.018763,-0.6068,0.0135096661
224,CFFCFFFFF,7,1,0,0,1,0,0,0,0,0,-12799.2284394046,-0.012624,0.3062,0.0123794000
225,CFFFCCCCC,3,1,0,0,0,1,1,1,1,1,-13281.9096281613,-0.008063,0.5133,0.0190749165
226,CFFFCCCCF,4,1,0,0,0,1,1,1,1,0,-13161.2409822630,-0.010854,0.6467,0.0164715739
227,CFFFCCCFC,4,1,0,0,0,1,1,1,0,1,-13161.2454262272,-0.015298,0.3364,0.0081410180
228,CFFFCCCFF,5,1,0,0,0,1,1,1,0,0,-13040.5677032853,-0.009013,1.2301,0.0214793923
